NAME                                VERSION                TYPE                    
media-typer                         0.3.0                  npm                      
merge-descriptors                   1.0.1                  npm                      
methods                             1.1.2                  npm                      
mime                                1.6.0                  npm                      
mime-db                             1.52.0                 npm                      
mime-types                          2.1.35                 npm                      
minimatch                           9.0.5                  npm                      
minipass                            3.3.6                  npm     (+4 duplicates)  
minipass                            5.0.0                  npm                      
minipass                            7.1.2                  npm                      
minipass-collect                    2.0.1                  npm                      
minipass-fetch                      3.0.5                  npm                      
minipass-flush                      1.0.5                  npm                      
minipass-pipeline                   1.2.4                  npm                      
minipass-sized                      1.0.3                  npm                      
minizlib                            2.1.2                  npm                      
mkdirp                              1.0.4                  npm                      
ms                                  2.0.0                  npm                      
ms                                  2.1.2                  npm                      
ms                                  2.1.3                  npm     (+1 duplicate)   
musl                                1.2.5-r0               apk                      
musl-utils                          1.2.5-r0               apk                      
mute-stream                         1.0.0                  npm                      
negotiator                          0.6.3                  npm     (+1 duplicate)   
node                                20.17.0                binary                   
node-gyp                            10.1.0                 npm                      
nopt                                7.2.1                  npm                      
normalize-package-data              6.0.2                  npm                      
npm                                 10.8.2                 npm                      
npm-audit-report                    5.0.0                  npm                      
npm-bundled                         3.0.1                  npm                      
npm-install-checks                  6.3.0                  npm                      
npm-normalize-package-bin           3.0.1                  npm                      
npm-package-arg                     11.0.2                 npm                      
npm-packlist                        8.0.2                  npm                      
npm-pick-manifest                   9.1.0                  npm                      
npm-profile                         10.0.0                 npm                      
npm-registry-fetch                  17.1.0                 npm                      
npm-user-validate                   2.0.1                  npm                      
object-assign                       4.1.1                  npm                      
object-inspect                      1.13.1                 npm                      
on-finished                         2.4.1                  npm                      
p-map                               4.0.0                  npm                      
package-json-from-dist              1.0.0                  npm                      
pacote                              18.0.6                 npm                      
parse-conflict-json                 3.0.1                  npm                      
parseurl                            1.3.3                  npm                      
path-key                            3.1.1                  npm                      
path-scurry                         1.11.1                 npm                      
path-to-regexp                      0.1.7                  npm                      
postcss-selector-parser             6.1.0                  npm                      
proc-log                            3.0.0                  npm                      
proc-log                            4.2.0                  npm                      
proggy                              2.0.0                  npm                      
promise-all-reject-late             1.0.1                  npm                      
promise-call-limit                  3.0.1                  npm                      
promise-inflight                    1.0.1                  npm                      
promise-retry                       2.0.1                  npm                      
promzard                            1.0.2                  npm                      
proxy-addr                          2.0.7                  npm                      
qrcode-terminal                     0.12.0                 npm                      
qs                                  6.11.0                 npm                      
random-bytes                        1.0.0                  npm                      
range-parser                        1.2.1                  npm                      
raw-body                            2.5.2                  npm                      
read                                3.0.1                  npm                      
read-cmd-shim                       4.0.0                  npm                      
read-package-json-fast              3.0.2                  npm                      
retry                               0.12.0                 npm                      
rndm                                1.2.0                  npm                      
safe-buffer                         5.2.1                  npm                      
safer-buffer                        2.1.2                  npm     (+1 duplicate)   
scanelf                             1.3.7-r2               apk                      
semver                              7.6.2                  npm                      
send                                0.18.0                 npm                      
serve-static                        1.15.0                 npm                      
set-function-length                 1.2.2                  npm                      
setprototypeof                      1.1.1                  npm                      
setprototypeof                      1.2.0                  npm                      
shebang-command                     2.0.0                  npm                      
shebang-regex                       3.0.0                  npm                      
side-channel                        1.0.6                  npm                      
signal-exit                         4.1.0                  npm                      
sigstore                            2.3.1                  npm                      
smart-buffer                        4.2.0                  npm                      
socks                               2.8.3                  npm                      
socks-proxy-agent                   8.0.4                  npm                      
spdx-correct                        3.2.0                  npm                      
spdx-exceptions                     2.5.0                  npm                      
spdx-expression-parse               3.0.1                  npm     (+1 duplicate)   
spdx-expression-parse               4.0.0                  npm                      
spdx-license-ids                    3.0.18                 npm                      
sprintf-js                          1.1.3                  npm                      
ssl_client                          1.36.1-r29             apk                      
ssri                                10.0.6                 npm                      
statuses                            1.5.0                  npm                      
statuses                            2.0.1                  npm                      
string-width                        4.2.3                  npm     (+1 duplicate)   
string-width                        5.1.2                  npm     (+1 duplicate)   
strip-ansi                          6.0.1                  npm     (+1 duplicate)   
strip-ansi                          7.1.0                  npm     (+1 duplicate)   
supports-color                      9.4.0                  npm                      
swagger-ui-dist                     5.12.0                 npm                      
swagger-ui-express                  5.0.1                  npm                      
tar                                 6.2.1                  npm                      
text-table                          0.2.0                  npm                      
tiny-relative-date                  1.3.0                  npm                      
toidentifier                        1.0.0                  npm                      
toidentifier                        1.0.1                  npm                      
treeverse                           3.0.0                  npm                      
tsscmp                              1.0.6                  npm                      
tuf-js                              2.2.1                  npm                      
type-is                             1.6.18                 npm                      
uid-safe                            2.1.5                  npm                      
unique-filename                     3.0.0                  npm                      
unique-slug                         4.0.0                  npm                      
unpipe                              1.0.0                  npm                      
util-deprecate                      1.0.2                  npm                      
utils-merge                         1.0.1                  npm                      
validate-npm-package-license        3.0.4                  npm                      
validate-npm-package-name           5.0.1                  npm                      
vary                                1.1.2                  npm                      
walk-up-path                        3.0.1                  npm                      
which                               2.0.2                  npm                      
which                               4.0.0                  npm                      
wrap-ansi                           7.0.0                  npm                      
wrap-ansi                           8.1.0                  npm                      
write-file-atomic                   5.0.1                  npm                      
yallist                             4.0.0                  npm                      
yarn                                1.22.22                npm                      
zlib                                1.3.1-r1               apk
